City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
362,baherden,24,TM,1516462542,92,38.44,57.43,45.09,5.84
363,turan,0,RU,1516461992,54,52.15,93.92,-21.38,2.1
364,berdigestyakh,36,RU,1516462543,87,62.1,126.7,-40.19,4.27
365,kalengwa,48,ZM,1516462544,82,-13.47,25.0,76.0,8.75
366,port lincoln,56,AU,1516461961,95,-34.72,135.86,67.63,13.29
367,matamoros,90,US,1516461300,100,25.87,-97.51,57.2,5.82
368,ilhabela,68,BR,1516462545,100,-23.78,-45.36,77.04,9.04
369,ballymena,0,GB,1516461600,93,54.87,-6.28,41.0,3.36
370,mahibadhoo,92,MV,1516462546,100,3.78,72.97,81.85,13.96
371,darnah,76,LY,1516462547,100,32.77,22.64,64.53,12.84
372,bonavista,32,CA,1516462547,100,48.65,-53.11,19.21,14.18
373,goderich,36,CA,1516462548,86,43.74,-81.71,36.63,15.19
374,kolodeznyy,90,RU,1516460400,86,51.33,39.18,30.2,8.95
375,karonga,64,MW,1516462549,100,-9.94,33.93,75.55,6.91
376,rocha,0,UY,1516461969,56,-34.48,-54.34,83.88,7.36
377,faanui,88,PF,1516462550,100,-16.48,-151.75,82.44,19.93
378,raudeberg,40,NO,1516461600,55,61.99,5.14,37.4,11.41
379,springdale,90,US,1516460280,81,36.19,-94.13,51.8,12.75
380,colac,88,AU,1516462552,70,-38.34,143.59,67.9,2.26
381,mindelo,75,PT,1516460400,76,41.31,-8.72,55.4,5.82
